network,scenario_id,network_family,topology_hash,bus_count,line_count,asset_bus,p_each_mw,stress_factor,feature_only_accept,pcc_accept,nominal_max_voltage_delta,nominal_max_loading_delta,correct_contingency_feasible,alias_contingency_feasible,correct_error,alias_error,counterfactual_max_voltage_delta,counterfactual_max_loading_delta,correct_min_voltage,alias_min_voltage,correct_max_loading_percent,alias_max_loading_percent,correct_safe_095_100,alias_safe_095_100,harmful_alias,false_safe_if_merged
case30,case30:duplicate_generator_n1:f0.03,IEEE_pandapower,4a3a92e7f259a5486e58738ebb941c2bca6f05f9540a2a5e33d7d30ff8986e82,30,41,2,5.675999999999999,0.03,True,False,0.0,0.0,True,True,,,0.016861710893332438,9.66686502668256,0.966925126948933,0.9606237083025243,111.628297425448,111.83140586617537,False,False,True,False
case30,case30:duplicate_generator_n1:f0.05,IEEE_pandapower,4a3a92e7f259a5486e58738ebb941c2bca6f05f9540a2a5e33d7d30ff8986e82,30,41,2,9.459999999999999,0.05,True,False,0.0,0.0,True,True,,,0.016861710893332105,10.242482127870742,0.9669323610710965,0.9606237083025243,111.62220997403027,111.83140586617537,False,False,True,False
case30,case30:duplicate_generator_n1:f0.08,IEEE_pandapower,4a3a92e7f259a5486e58738ebb941c2bca6f05f9540a2a5e33d7d30ff8986e82,30,41,2,15.136,0.08,True,False,0.0,0.0,True,True,,,0.016861710893332438,11.282078873729288,0.966942692880342,0.9606237083025243,111.6131627814867,111.83140586617537,False,False,True,False
case30,case30:duplicate_generator_n1:f0.1,IEEE_pandapower,4a3a92e7f259a5486e58738ebb941c2bca6f05f9540a2a5e33d7d30ff8986e82,30,41,2,18.919999999999998,0.1,True,False,0.0,0.0,True,True,,,0.016861710893332438,12.079645027260904,0.966949235512071,0.9606237083025243,111.60718690340721,111.83140586617537,False,False,True,False
case57,case57:duplicate_generator_n1:f0.005,IEEE_pandapower,e172eb75a8ffd699288a95821e62779c7840b36a9e2b38a85b766c243321891e,57,63,4,6.254,0.005,True,False,1.5774381800781612e-11,8.47756587152304e-12,True,True,,,0.023751943273667253,0.2310511726500974,0.720137779641984,0.719913679370304,1.803862481363887,1.7838280504322526,False,False,True,False
case57,case57:duplicate_generator_n1:f0.01,IEEE_pandapower,e172eb75a8ffd699288a95821e62779c7840b36a9e2b38a85b766c243321891e,57,63,4,12.508,0.01,True,False,1.5716317136593716e-11,8.448478028277862e-12,True,True,,,0.023751943273667253,0.22276266815062085,0.720164167525193,0.719913679370304,1.823944598184002,1.7838280504322526,False,False,True,False
case57,case57:duplicate_generator_n1:f0.02,IEEE_pandapower,e172eb75a8ffd699288a95821e62779c7840b36a9e2b38a85b766c243321891e,57,63,4,25.016,0.02,True,False,1.564903762130143e-11,8.412201490948235e-12,True,True,,,0.023751943273667364,0.2213092783584492,0.7202035196975181,0.719913679370304,1.8639265095806985,1.7838280504322526,False,False,True,False
case57,case57:duplicate_generator_n1:f0.03,IEEE_pandapower,e172eb75a8ffd699288a95821e62779c7840b36a9e2b38a85b766c243321891e,57,63,4,37.523999999999994,0.03,True,False,1.5626167026994153e-11,8.405123819166249e-12,True,True,,,0.023751943273667586,0.239702244318994,0.7202253839020754,0.719913679370304,1.903665576329645,1.7838280504322526,False,False,True,False
case57,case57:duplicate_generator_n1:f0.05,IEEE_pandapower,e172eb75a8ffd699288a95821e62779c7840b36a9e2b38a85b766c243321891e,57,63,4,62.54,0.05,True,False,1.5750845072659558e-11,8.47547032556406e-12,True,True,,,0.023751943273667364,0.4004670847062541,0.7202185296776931,0.719913679370304,1.9824180832828238,1.7838280504322526,False,False,True,False
case57,case57:duplicate_generator_n1:f0.08,IEEE_pandapower,e172eb75a8ffd699288a95821e62779c7840b36a9e2b38a85b766c243321891e,57,63,4,100.064,0.08,True,False,1.629951729142931e-11,8.77778405516949e-12,True,True,,,0.023751943273667253,0.5580481004547178,0.7200883773583393,0.719913679370304,2.098751298942439,1.7838280504322526,False,False,True,False
case57,case57:duplicate_generator_n1:f0.1,IEEE_pandapower,e172eb75a8ffd699288a95821e62779c7840b36a9e2b38a85b766c243321891e,57,63,4,125.08,0.1,True,False,1.6895929100257945e-11,9.103634512896974e-12,True,True,,,0.023751943273667253,0.6368742644537699,0.7199264396277414,0.719913679370304,2.175129019710034,1.7838280504322526,False,False,True,False
case118,case118:duplicate_generator_n1:f0.005,IEEE_pandapower,2a445ba9781575f66ad6fc27587343f2ea9e541ebce4252e24ca67880eb57323,118,173,1,21.21,0.005,True,False,2.488231842789901e-12,1.4292567129814415e-11,True,True,,,0.0286072086043464,0.261176046810671,0.943,0.943,4.475087324328423,4.475087324337677,False,False,True,False
case118,case118:duplicate_generator_n1:f0.01,IEEE_pandapower,2a445ba9781575f66ad6fc27587343f2ea9e541ebce4252e24ca67880eb57323,118,173,1,42.42,0.01,True,False,2.488897976604676e-12,1.4285461702456814e-11,True,True,,,0.02860720860434607,0.2724965849421891,0.9429999999999998,0.943,4.475087324328418,4.475087324337677,False,False,True,False
case118,case118:duplicate_generator_n1:f0.02,IEEE_pandapower,2a445ba9781575f66ad6fc27587343f2ea9e541ebce4252e24ca67880eb57323,118,173,1,84.84,0.02,True,False,2.488453887394826e-12,1.4287238059296214e-11,True,True,,,0.0286072086043464,0.39439289067810934,0.9429999999999998,0.943,4.475087324328421,4.475087324337677,False,False,True,False
case118,case118:duplicate_generator_n1:f0.03,IEEE_pandapower,2a445ba9781575f66ad6fc27587343f2ea9e541ebce4252e24ca67880eb57323,118,173,1,127.25999999999999,0.03,True,False,2.488453887394826e-12,1.4298784378752316e-11,True,True,,,0.028607208604346845,0.5681338044232158,0.9430000000000002,0.943,4.475087324328419,4.475087324337677,False,False,True,False
case118,case118:duplicate_generator_n1:f0.05,IEEE_pandapower,2a445ba9781575f66ad6fc27587343f2ea9e541ebce4252e24ca67880eb57323,118,173,1,212.10000000000002,0.05,True,False,2.489120021209601e-12,1.4289902594555315e-11,True,True,,,0.028607208604346623,0.9414059158408874,0.9429999999999997,0.943,4.475087324328418,4.475087324337677,False,False,True,False
case118,case118:duplicate_generator_n1:f0.08,IEEE_pandapower,2a445ba9781575f66ad6fc27587343f2ea9e541ebce4252e24ca67880eb57323,118,173,1,339.36,0.08,True,False,2.488453887394826e-12,1.4295231665073516e-11,True,True,,,0.02860720860434629,1.854459595120884,0.9429999999999997,0.943,4.475087324328412,4.475087324337677,False,False,True,False
case118,case118:duplicate_generator_n1:f0.1,IEEE_pandapower,2a445ba9781575f66ad6fc27587343f2ea9e541ebce4252e24ca67880eb57323,118,173,1,424.20000000000005,0.1,True,False,7.771561172376096e-16,3.3306690738754696e-14,True,True,,,0.028607208604346623,2.498418917547649,0.9429999999999997,0.943,4.475087324328419,4.475087324337677,False,False,True,False
case300,case300:duplicate_generator_n1:f0.005,IEEE_pandapower,56a892df5e9ea3ac31120827161de6186031321e05cf015e47f2475e1b810ffb,300,283,0,119.23825000000001,0.005,True,False,1.02784447619797e-12,7.043809979734306e-12,True,True,,,0.027943520413976852,0.7631148965111567,0.8896214875778214,0.8890020774204476,8.732531889974403,8.732496523275984,False,False,True,False
case300,case300:duplicate_generator_n1:f0.01,IEEE_pandapower,56a892df5e9ea3ac31120827161de6186031321e05cf015e47f2475e1b810ffb,300,283,0,238.47650000000002,0.01,True,False,7.20201676074339e-13,3.638866985511413e-12,True,True,,,0.027943520413976852,1.4937506499079758,0.8887384012924178,0.8890020774204476,8.732570906630114,8.732496523275984,False,False,True,False
case300,case300:duplicate_generator_n1:f0.02,IEEE_pandapower,56a892df5e9ea3ac31120827161de6186031321e05cf015e47f2475e1b810ffb,300,283,0,476.95300000000003,0.02,True,False,2.115752018028161e-12,6.760814130757353e-12,True,True,,,0.027943520413976852,2.9568395287857774,0.881345676984157,0.8890020774204476,10.055722174734965,8.732496523275984,False,False,True,False
case300,case300:duplicate_generator_n1:f0.03,IEEE_pandapower,56a892df5e9ea3ac31120827161de6186031321e05cf015e47f2475e1b810ffb,300,283,0,715.4295,0.03,True,False,7.449374450629875e-11,8.36521962810366e-11,True,True,,,0.03493624083327451,4.431329364637251,0.8667702608286806,0.8890020774204476,11.530212010586439,8.732496523275984,False,False,True,False
